sbscrptn_ek_id,prdct_nm
1409624,FreeFridays
1410716,3G SimSim
1410716,Call Conference
1410716,Free Stardial Facilities
1410716,Freetime 20
1410716,My Package
1410716,Super 10
1410716,Super 30
1410716,Super Smart
1410716,Valuetime
1410913,3G SimSim
1410913,Call Conference
1410913,Free Stardial Facilities
1410913,Freetime 20
1410913,My Package
1410913,Super 10
1410913,Super 30
1410913,Super Smart
1410913,Valuetime
1411052,3G SimSim Home
1411052,Free Stardial Facilities
1411052,Freetime 20
1411052,My Package
1411052,Super 10
1411052,Super 30
1411052,Super Smart
1411052,Valuetime
1411904,3G SimSim
1411904,Call Conference
1411904,Free Stardial Facilities
1411904,Freetime 20
1411904,My Package
1411904,Super 10
1411904,Super 30
1411904,Super Smart
1411904,Valuetime
1412010,3G SimSim
1412010,Call Conference
1412010,Free Stardial Facilities
1412010,Freetime 20
1412010,My Package
1412010,Super 10
1412010,Super 30
1412010,Super Smart
1412010,Valuetime
1412681,3G SimSim
1412681,Call Conference
1412681,Free Stardial Facilities
1412681,Freetime 20
1412681,My Package
1412681,Super 10
1412681,Super 30
1412681,Super Smart
1412681,Valuetime
1414482,3G SimSim
1414482,Call Conference
1414482,Free Stardial Facilities
1414482,Freetime 20
1414482,My Package
1414482,Super 10
1414482,Super 30
1414482,Super Smart
1414482,Valuetime
1414756,3G SimSim
1414756,Call Conference
1414756,Free Stardial Facilities
1414756,Freetime 20
1414756,My Package
1414756,Super 10
1414756,Super 30
1414756,Super Smart
1414756,Valuetime
1414997,3G SimSim
1414997,Call Conference
1414997,Free Stardial Facilities
1414997,Freetime 20
1414997,My Package
1414997,Super 10
1414997,Super 30
1414997,Super Smart
1414997,Valuetime
1415355,3G SimSim
1415355,Call Conference
1415355,Free Stardial Facilities
1415355,Freetime 20
1415355,My Package
1415355,Super 10
1415355,Super 30
1415355,Super Smart
1415355,Valuetime
1415584,FreeFridays
1415654,FreeFridays
1415762,3G SimSim
1415762,Call Conference
1415762,Free Stardial Facilities
1415762,Freetime 20
1415762,My Package
1415762,Super 10
1415762,Super 30
1415762,Super Smart
1415762,Valuetime
1415792,3G SimSim
1415792,Call Conference
1415792,Free Stardial Facilities
1415792,Freetime 20
1415792,My Package
1415792,Super 10
1415792,Super 30
1415792,Super Smart
1415792,Valuetime
1415856,3G SimSim
1415856,Call Conference
1415856,Free Stardial Facilities
1415856,Freetime 20
1415856,My Package
1415856,Super 10
1415856,Super 30
1415856,Super Smart
1415856,Valuetime
1415957,3G SimSim
1415957,Call Conference
1415957,Free Stardial Facilities
1415957,Freetime 20
1415957,My Package
1415957,Super 10
1415957,Super 30
1415957,Super Smart
1415957,Valuetime
1416269,3G SimSim
1416269,Call Conference
1416269,Free Stardial Facilities
1416269,Freetime 20
1416269,My Package
1416269,Super 10
1416269,Super 30
1416269,Super Smart
1416269,Valuetime
1416473,3G SimSim
1416473,Call Conference
1416473,Free Stardial Facilities
1416473,Freetime 20
1416473,My Package
1416473,Super 10
1416473,Super 30
1416473,Super Smart
1416473,Valuetime
1416766,3G SimSim
1416766,Call Conference
1416766,Free Stardial Facilities
1416766,Freetime 20
1416766,My Package
1416766,Super 10
1416766,Super 30
1416766,Super Smart
1416766,Valuetime
1417547,3G SimSim
1417547,Call Conference
1417547,Free Stardial Facilities
1417547,Freetime 20
1417547,My Package
1417547,Super 10
1417547,Super 30
1417547,Super Smart
1417547,Valuetime
1418277,3G SimSim Home
1418277,Free Stardial Facilities
1418277,Freetime 20
1418277,My Package
1418277,Super 10
1418277,Super 30
1418277,Super Smart
1418277,Valuetime
1418605,FreeFridays
1418662,3G SimSim
1418662,Call Conference
1418662,Free Stardial Facilities
1418662,Freetime 20
1418662,My Package
1418662,Super 10
1418662,Super 30
1418662,Super Smart
1418662,Valuetime
1418836,3G SimSim Cool
1418836,Free Stardial Facilities
1418836,Freetime 20
1418836,My Package
1418836,Super 10
1418836,Super 30
1418836,Super Smart
1418836,Valuetime
1418968,3G SimSim
1418968,Call Conference
1418968,Free Stardial Facilities
1418968,Freetime 20
1418968,My Package
1418968,Super 10
1418968,Super 30
1418968,Super Smart
1418968,Valuetime
1419151,3G SimSim
1419151,Call Conference
1419151,Free Stardial Facilities
1419151,Freetime 20
1419151,My Package
1419151,Super 10
1419151,Super 30
1419151,Super Smart
1419151,Valuetime
1419510,3G Shabab
1419510,Call Conference
1419510,Free Stardial Facilities
1419510,Freetime 20
1419510,My Package
1419510,Super 10
1419510,Super 30
1419510,Super Smart
1419510,Valuetime
1419565,3G SimSim
1419565,Call Conference
1419565,Free Stardial Facilities
1419565,Freetime 20
1419565,My Package
1419565,Super 10
1419565,Super 30
1419565,Super Smart
1419565,Valuetime
1419961,3G SimSim
1419961,Call Conference
1419961,Free Stardial Facilities
1419961,Freetime 20
1419961,My Package
1419961,Super 10
1419961,Super 30
1419961,Super Smart
1419961,Valuetime
1420149,FreeFridays
1420932,3G SimSim
1420932,Call Conference
1420932,Free Stardial Facilities
1420932,Freetime 20
1420932,My Package
1420932,Super 10
1420932,Super 30
1420932,Super Smart
1420932,Valuetime
1421508,3G SimSim
1421508,Call Conference
1421508,Free Stardial Facilities
1421508,Freetime 20
1421508,My Package
1421508,Super 10
1421508,Super 30
1421508,Super Smart
1421508,Valuetime
1421820,3G SimSim
1421820,Call Conference
1421820,Free Stardial Facilities
1421820,Freetime 20
1421820,My Package
1421820,Super 10
1421820,Super 30
1421820,Super Smart
1421820,Valuetime
1422101,3G SimSim
1422101,Call Conference
1422101,Free Stardial Facilities
1422101,Freetime 20
1422101,My Package
1422101,Super 10
1422101,Super 30
1422101,Super Smart
1422101,Valuetime
1422185,3G SimSim
1422185,Call Conference
1422185,Free Stardial Facilities
1422185,Freetime 20
1422185,My Package
1422185,Super 10
1422185,Super 30
1422185,Super Smart
1422185,Valuetime
1422513,3G SimSim
1422513,Call Conference
1422513,Free Stardial Facilities
1422513,Freetime 20
1422513,My Package
1422513,Super 10
1422513,Super 30
1422513,Super Smart
1422513,Valuetime
1423184,3G SimSim
1423184,Call Conference
1423184,Free Stardial Facilities
1423184,Freetime 20
1423184,My Package
1423184,Super 10
1423184,Super 30
1423184,Super Smart
1423184,Valuetime
1423442,3G SimSim
1423442,Call Conference
1423442,Free Stardial Facilities
1423442,Freetime 20
1423442,My Package
1423442,Super 10
1423442,Super 30
1423442,Super Smart
1423442,Valuetime
1423545,3G SimSim
1423545,Call Conference
1423545,Free Stardial Facilities
1423545,Freetime 20
1423545,My Package
1423545,Super 10
1423545,Super 30
1423545,Super Smart
1423545,Valuetime
1423623,3G SimSim
1423623,Call Conference
1423623,Free Stardial Facilities
1423623,Freetime 20
1423623,My Package
1423623,Super 10
1423623,Super 30
1423623,Super Smart
1423623,Valuetime
1423771,3G SimSim
1423771,Call Conference
1423771,Free Stardial Facilities
1423771,Freetime 20
1423771,My Package
1423771,Super 10
1423771,Super 30
1423771,Super Smart
1423771,Valuetime
1424199,3G SimSim
1424199,Call Conference
1424199,Free Stardial Facilities
1424199,Freetime 20
1424199,My Package
1424199,Super 10
1424199,Super 30
1424199,Super Smart
1424199,Valuetime
1424509,3G SimSim
1424509,Call Conference
1424509,Free Stardial Facilities
1424509,Freetime 20
1424509,My Package
1424509,Super 10
1424509,Super 30
1424509,Super Smart
1424509,Valuetime
1425695,3G SimSim
1425695,Call Conference
1425695,Free Stardial Facilities
1425695,Freetime 20
1425695,My Package
1425695,Super 10
1425695,Super 30
1425695,Super Smart
1425695,Valuetime
1425870,3G SimSim
1425870,Call Conference
1425870,Free Stardial Facilities
1425870,Freetime 20
1425870,My Package
1425870,Super 10
1425870,Super 30
1425870,Super Smart
1425870,Valuetime
1426273,3G SimSim
1426273,Call Conference
1426273,Free Stardial Facilities
1426273,Freetime 20
1426273,My Package
1426273,Super 10
1426273,Super 30
1426273,Super Smart
1426273,Valuetime
1426280,3G SimSim
1426280,Call Conference
1426280,Free Stardial Facilities
1426280,Freetime 20
1426280,My Package
1426280,Super 10
1426280,Super 30
1426280,Super Smart
1426280,Valuetime
1426508,3G SimSim
1426508,Call Conference
1426508,Free Stardial Facilities
1426508,Freetime 20
1426508,My Package
1426508,Super 10
1426508,Super 30
1426508,Super Smart
1426508,Valuetime
1426630,3G SimSim
1426630,Call Conference
1426630,Free Stardial Facilities
1426630,Freetime 20
1426630,My Package
1426630,Super 10
1426630,Super 30
1426630,Super Smart
1426630,Valuetime
1426797,FreeFridays
1426821,FreeFridays
1426989,3G SimSim
1426989,Call Conference
1426989,Free Stardial Facilities
1426989,Freetime 20
1426989,My Package
1426989,Super 10
1426989,Super 30
1426989,Super Smart
1426989,Valuetime
1427251,3G SimSim
1427251,Call Conference
1427251,Free Stardial Facilities
1427251,Freetime 20
1427251,My Package
1427251,Super 10
1427251,Super 30
1427251,Super Smart
1427251,Valuetime
1427551,3G SimSim
1427551,Call Conference
1427551,Free Stardial Facilities
1427551,Freetime 20
1427551,My Package
1427551,Super 10
1427551,Super 30
1427551,Super Smart
1427551,Valuetime
1428567,3G SimSim
1428567,Call Conference
1428567,Free Stardial Facilities
1428567,Freetime 20
1428567,My Package
1428567,Super 10
1428567,Super 30
1428567,Super Smart
1428567,Valuetime
1429012,3G SimSim
1429012,Call Conference
1429012,Free Stardial Facilities
1429012,Freetime 20
1429012,My Package
1429012,Super 10
1429012,Super 30
1429012,Super Smart
1429012,Valuetime
1429717,3G SimSim
1429717,Call Conference
1429717,Free Stardial Facilities
1429717,Freetime 20
1429717,My Package
1429717,Super 10
1429717,Super 30
1429717,Super Smart
1429717,Valuetime
1430343,3G SimSim Home
1430343,Free Stardial Facilities
1430343,Freetime 20
1430343,My Package
1430343,Super 10
1430343,Super 30
1430343,Super Smart
1430343,Valuetime
1431094,3G SimSim
1431094,Call Conference
1431094,Free Stardial Facilities
1431094,Freetime 20
1431094,My Package
1431094,Super 10
1431094,Super 30
1431094,Super Smart
1431094,Valuetime
1431379,3G SimSim
1431379,Call Conference
1431379,Free Stardial Facilities
1431379,Freetime 20
1431379,My Package
1431379,Super 10
1431379,Super 30
1431379,Super Smart
1431379,Valuetime
1432015,3G SimSim
1432015,Call Conference
1432015,Free Stardial Facilities
1432015,Freetime 20
1432015,My Package
1432015,Super 10
1432015,Super 30
1432015,Super Smart
1432015,Valuetime
1432273,3G SimSim
1432273,Call Conference
1432273,Free Stardial Facilities
1432273,Freetime 20
1432273,My Package
1432273,Super 10
1432273,Super 30
1432273,Super Smart
1432273,Valuetime
1432688,3G SimSim
1432688,Call Conference
1432688,Free Stardial Facilities
1432688,Freetime 20
1432688,My Package
1432688,Super 10
1432688,Super 30
1432688,Super Smart
1432688,Valuetime
1435636,3G SimSim
1435636,Call Conference
1435636,Free Stardial Facilities
1435636,Freetime 20
1435636,My Package
1435636,Super 10
1435636,Super 30
1435636,Super Smart
1435636,Valuetime
1436237,3G SimSim Cool
1436237,Free Stardial Facilities
1436237,Freetime 20
1436237,My Package
1436237,Super 10
1436237,Super 30
1436237,Super Smart
1436237,Valuetime
1436391,3G SimSim
1436391,Call Conference
1436391,Free Stardial Facilities
1436391,Freetime 20
1436391,My Package
1436391,Super 10
1436391,Super 30
1436391,Super Smart
1436391,Valuetime
1436403,3G SimSim Cool
1436403,Free Stardial Facilities
1436403,Freetime 20
1436403,My Package
1436403,Super 10
1436403,Super 30
1436403,Super Smart
1436403,Valuetime
1437351,FreeFridays
1437999,FreeFridays
1439995,3G SimSim
1439995,Call Conference
1439995,Free Stardial Facilities
1439995,Freetime 20
1439995,My Package
1439995,Super 10
1439995,Super 30
1439995,Super Smart
1439995,Valuetime
1440794,FreeFridays
1440825,3G SimSim Home
1440825,Free Stardial Facilities
1440825,Freetime 20
1440825,My Package
1440825,Super 10
1440825,Super 30
1440825,Super Smart
1440825,Valuetime
1441911,3G SimSim
1441911,Call Conference
1441911,Free Stardial Facilities
1441911,Freetime 20
1441911,My Package
1441911,Super 10
1441911,Super 30
1441911,Super Smart
1441911,Valuetime
1442084,FreeFridays
1442926,3G SimSim
1442926,Call Conference
1442926,Free Stardial Facilities
1442926,Freetime 20
1442926,My Package
1442926,Super 10
1442926,Super 30
1442926,Super Smart
1442926,Valuetime
1443332,3G SimSim
1443332,Call Conference
1443332,Free Stardial Facilities
1443332,Freetime 20
1443332,My Package
1443332,Super 10
1443332,Super 30
1443332,Super Smart
1443332,Valuetime
1443500,3G SimSim
1443500,Call Conference
1443500,Free Stardial Facilities
1443500,Freetime 20
1443500,My Package
1443500,Super 10
1443500,Super 30
1443500,Super Smart
1443500,Valuetime
1444933,3G SimSim
1444933,Call Conference
1444933,Free Stardial Facilities
1444933,Freetime 20
1444933,My Package
1444933,Super 10
1444933,Super 30
1444933,Super Smart
1444933,Valuetime
1447228,FreeFridays
1448031,3G SimSim Cool
1448031,Free Stardial Facilities
1448031,Freetime 20
1448031,My Package
1448031,Super 10
1448031,Super 30
1448031,Super Smart
1448031,Valuetime
1448094,3G SimSim
1448094,Call Conference
1448094,Free Stardial Facilities
1448094,Freetime 20
1448094,My Package
1448094,Super 10
1448094,Super 30
1448094,Super Smart
1448094,Valuetime
1448551,3G International
1448551,Call Conference
1448551,Free Stardial Facilities
1448551,Freetime 20
1448551,My Package
1448551,Super 10
1448551,Super 30
1448551,Super Smart
1448551,Valuetime
1448937,3G SimSim
1448937,Call Conference
1448937,Free Stardial Facilities
1448937,Freetime 20
1448937,My Package
1448937,Super 10
1448937,Super 30
1448937,Super Smart
1448937,Valuetime
1449037,3G SimSim
1449037,Call Conference
1449037,Free Stardial Facilities
1449037,Freetime 20
1449037,My Package
1449037,Super 10
1449037,Super 30
1449037,Super Smart
1449037,Valuetime
1449263,3G SimSim Home
1449263,Free Stardial Facilities
1449263,Freetime 20
1449263,My Package
1449263,Super 10
1449263,Super 30
1449263,Super Smart
1449263,Valuetime
1449928,3G SimSim
1449928,Call Conference
1449928,Free Stardial Facilities
1449928,Freetime 20
1449928,My Package
1449928,Super 10
1449928,Super 30
1449928,Super Smart
1449928,Valuetime
1450019,3G Shabab
1450019,Call Conference
1450019,Free Stardial Facilities
1450019,Freetime 20
1450019,My Package
1450019,Super 10
1450019,Super 30
1450019,Super Smart
1450019,Valuetime
1450070,3G SimSim
1450070,Call Conference
1450070,Free Stardial Facilities
1450070,Freetime 20
1450070,My Package
1450070,Super 10
1450070,Super 30
1450070,Super Smart
1450070,Valuetime
1450456,3G Shabab
1450456,Call Conference
1450456,Free Stardial Facilities
1450456,Freetime 20
1450456,My Package
1450456,Super 10
1450456,Super 30
1450456,Super Smart
1450456,Valuetime
1450598,3G SimSim
1450598,Call Conference
1450598,Free Stardial Facilities
1450598,Freetime 20
1450598,My Package
1450598,Super 10
1450598,Super 30
1450598,Super Smart
1450598,Valuetime
1450656,3G SimSim
1450656,Call Conference
1450656,Free Stardial Facilities
1450656,Freetime 20
1450656,My Package
1450656,Super 10
1450656,Super 30
1450656,Super Smart
1450656,Valuetime
1450671,3G SimSim
1450671,Call Conference
1450671,Free Stardial Facilities
1450671,Freetime 20
1450671,My Package
1450671,Super 10
1450671,Super 30
1450671,Super Smart
1450671,Valuetime
1450954,3G SimSim
1450954,Call Conference
1450954,Free Stardial Facilities
1450954,Freetime 20
1450954,My Package
1450954,Super 10
1450954,Super 30
1450954,Super Smart
1450954,Valuetime
1452160,3G SimSim
1452160,Call Conference
1452160,Free Stardial Facilities
1452160,Freetime 20
1452160,My Package
1452160,Super 10
1452160,Super 30
1452160,Super Smart
1452160,Valuetime
1452250,3G SimSim Home
1452250,Free Stardial Facilities
1452250,Freetime 20
1452250,My Package
1452250,Super 10
1452250,Super 30
1452250,Super Smart
1452250,Valuetime
1453693,3G SimSim
1453693,Call Conference
1453693,Free Stardial Facilities
1453693,Freetime 20
1453693,My Package
1453693,Super 10
1453693,Super 30
1453693,Super Smart
1453693,Valuetime
1454575,3G SimSim
1454575,Call Conference
1454575,Free Stardial Facilities
1454575,Freetime 20
1454575,My Package
1454575,Super 10
1454575,Super 30
1454575,Super Smart
1454575,Valuetime
1454729,3G SimSim
1454729,Call Conference
1454729,Free Stardial Facilities
1454729,Freetime 20
1454729,My Package
1454729,Super 10
1454729,Super 30
1454729,Super Smart
1454729,Valuetime
1455186,3G SimSim
1455186,Call Conference
1455186,Free Stardial Facilities
1455186,Freetime 20
1455186,My Package
1455186,Super 10
1455186,Super 30
1455186,Super Smart
1455186,Valuetime
1455287,3G SimSim
1455287,Call Conference
1455287,Free Stardial Facilities
1455287,Freetime 20
1455287,My Package
1455287,Super 10
1455287,Super 30
1455287,Super Smart
1455287,Valuetime
1455642,FreeFridays
1456402,3G SimSim
1456402,Call Conference
1456402,Free Stardial Facilities
1456402,Freetime 20
1456402,My Package
1456402,Super 10
1456402,Super 30
1456402,Super Smart
1456402,Valuetime
1456912,3G SimSim
1456912,Call Conference
1456912,Free Stardial Facilities
1456912,Freetime 20
1456912,My Package
1456912,Super 10
1456912,Super 30
1456912,Super Smart
1456912,Valuetime
1457154,3G SimSim
1457154,Call Conference
1457154,Free Stardial Facilities
1457154,Freetime 20
1457154,My Package
1457154,Super 10
1457154,Super 30
1457154,Super Smart
1457154,Valuetime
1457301,3G SimSim
1457301,Call Conference
1457301,Free Stardial Facilities
1457301,Freetime 20
1457301,My Package
1457301,Super 10
1457301,Super 30
1457301,Super Smart
1457301,Valuetime
1457969,3G SimSim
1457969,Call Conference
1457969,Free Stardial Facilities
1457969,Freetime 20
1457969,My Package
1457969,Super 10
1457969,Super 30
1457969,Super Smart
1457969,Valuetime
1459123,FreeFridays
1459299,3G SimSim
1459299,Call Conference
1459299,Free Stardial Facilities
1459299,Freetime 20
1459299,My Package
1459299,Super 10
1459299,Super 30
